"";"Pais";"GII";"Ranking";"Mort.Maternal";"Nac.Adolescentes";"AsientosParlamento";"M.Educacion";"H.Educacion";"M.Pob.Activa";"H.Pob.Activa"
"1";"Norway";"4.4116419479600544E-2";"5";"5";"5.141";"41.420118340000002";"96.066689999999994";"94.810299999999998";"60.2";"66.7"
"2";"Switzerland";"3.6718722187391362E-2";"1";"5";"2.7629999999999999";"29.268292679999998";"96.371359999999996";"97.162589999999994";"62.6";"74.099999999999994"
"3";"Ireland";"9.2902528710027577E-2";"22";"8";"7.5149999999999997";"24.31192661";"90.238";"86.30795123";"55.1";"68.099999999999994"
"4";"Germany";"8.3537887449592563E-2";"19";"6";"8.0950000000000006";"31.491002569999999";"95.994839999999996";"96.640519999999995";"55.3";"66.2"
"5";"Hong Kong";"";"";"";"2.7050000000000001";"";"76.585279999999997";"82.915099999999995";"54.1";"67.8"
"6";"Australia";"0.10287730818702834";"25";"6";"11.715";"32.743362830000002";"89.993579999999994";"90.745149999999995";"59.7";"70.5"
"7";"Iceland";"5.7485973673396251E-2";"9";"3";"6.2690000000000001";"38.095238100000003";"100";"100";"72.099999999999994";"80.599999999999994"
"8";"Sweden";"4.0217716587950703E-2";"2";"4";"5.0759999999999996";"46.131805159999999";"88.813670000000002";"88.978999999999999";"61.1";"67.599999999999994"
"9";"Singapore";"6.49076863827589E-2";"11";"10";"3.53";"23";"76.268060000000006";"83.262150000000005";"60.5";"76.3"
"10";"Netherlands";"4.1109984385139575E-2";"4";"7";"3.7879999999999998";"35.555555560000002";"86.56447";"90.066800000000001";"58";"68.900000000000006"
"11";"Denmark";"3.9597173601869429E-2";"2";"6";"4.1230000000000002";"37.430167599999997";"89.180139999999994";"89.432699999999997";"58.1";"65.900000000000006"
"12";"Finland";"5.0395436864459242E-2";"7";"3";"5.8129999999999997";"42";"100";"100";"55";"62.2"
"13";"Canada";"8.2716424657450216E-2";"18";"7";"8.3870000000000005";"31.662870160000001";"100";"100";"60.9";"69.7"
"14";"New Zealand";"0.13293942293655325";"34";"11";"19.27";"38.333333330000002";"97.189170000000004";"96.587339999999998";"64.599999999999994";"75.7"
"15";"United Kingdom";"0.11919006989133973";"27";"9";"13.37";"28.938237340000001";"82.875220209999995";"85.726019570000005";"57.1";"67.8"
"16";"United States";"0.18160346074953182";"42";"14";"19.86";"23.595505620000001";"95.704070000000002";"95.456900000000005";"56.1";"68.2"
"17";"Belgium";"4.5443996695445077E-2";"6";"7";"4.6509999999999998";"41.428571429999998";"82.621459999999999";"87.100120000000004";"47.9";"58.9"
"18";"Liechtenstein";"";"";"";"";"12";"";"";"";""
"19";"Japan";"9.8649094381129454E-2";"23";"5";"3.78";"13.71994342";"95.18";"92.16";"51.4";"70.7"
"20";"Austria";"7.3148202243740301E-2";"14";"4";"7.34";"34.836065570000002";"100";"100";"54.8";"65.900000000000006"
"21";"Luxembourg";"7.8352409215030061E-2";"16";"10";"4.7270000000000003";"20";"100";"100";"53.5";"62.7"
"22";"Israel";"0.10028412475205606";"24";"5";"9.6069999999999993";"27.5";"87.776849999999996";"90.532169999999994";"59.2";"69.099999999999994"
"23";"Republic of Korea";"5.7573633086494325E-2";"10";"11";"1.379";"17";"89.752121840000001";"95.560870100000002";"52.8";"73.3"
"24";"Slovenia";"6.860341454226615E-2";"12";"9";"3.7759999999999998";"20";"96.993179999999995";"98.271460000000005";"53.4";"62.7"
"25";"Spain";"7.4110250826202595E-2";"15";"5";"7.7249999999999996";"38.636363639999999";"73.31044";"78.449789999999993";"51.7";"63.4"
"26";"Czech Republic (Czechia)";"0.13741483554839629";"35";"4";"11.972";"20.284697510000001";"99.821839999999995";"99.767480000000006";"52.4";"68.400000000000006"
"27";"France";"5.1375861018074342E-2";"8";"8";"4.7270000000000003";"35.714285709999999";"80.995729999999995";"86.270859999999999";"50.3";"60"
"28";"Malta";"0.19499821964839725";"44";"9";"12.879";"11.94029851";"74.289400000000001";"82.169089999999997";"43.3";"66.2"
"29";"Italy";"6.9101684951984321E-2";"12";"4";"5.24";"35.578947370000002";"75.625642080000006";"82.969179999999994";"40";"58.4"
"30";"Estonia";"9.1257862431578407E-2";"21";"9";"7.6980000000000004";"26.732673269999999";"100";"100";"57";"70.900000000000006"
"31";"Cyprus";"8.6124699215239575E-2";"20";"7";"4.5819999999999999";"17.85714286";"78.248400000000004";"82.556520000000006";"57.3";"67.2"
"32";"Greece";"0.12230173015000856";"31";"3";"7.2229999999999999";"18.666666670000001";"61.507249999999999";"73.200119999999998";"45.3";"60.7"
"33";"Poland";"0.12005188897716246";"30";"3";"10.538";"25.535714290000001";"82.853080000000006";"88.080089999999998";"48.9";"65.5"
"34";"Lithuania";"0.12419569598644076";"33";"10";"10.853999999999999";"21.276595740000001";"92.943079999999995";"97.502579999999995";"56.4";"66.7"
"35";"United Arab Emirates";"0.11309898427562903";"26";"6";"6.5460000000000003";"22.5";"78.8";"65.66";"51.2";"93.4"
"36";"Andorra";"";"";"";"";"32.142857139999997";"71.483840000000001";"73.326580000000007";"";""
"37";"Saudi Arabia";"0.22353421915394123";"49";"12";"7.3239999999999998";"19.867549669999999";"67.754028059999996";"75.534590989999998";"23.4";"79.2"
"38";"Slovakia";"0.18995812399222112";"43";"6";"25.684000000000001";"20";"99.148399999999995";"100";"52.7";"67.400000000000006"
"39";"Latvia";"0.16942693947807119";"40";"18";"16.170999999999999";"31";"100";"99.057900000000004";"55.4";"68"
"40";"Portugal";"8.0794128901628182E-2";"17";"10";"8.3800000000000008";"34.782608699999997";"53.632109999999997";"54.844270000000002";"53.9";"64.2"
"41";"Qatar";"0.20243781868694255";"45";"13";"9.9220000000000006";"9.7560975610000007";"73.47533";"66.119079999999997";"57.8";"94.7"
"42";"Chile";"0.28785367480719526";"62";"22";"41.052";"22.727272729999999";"78.974886530000006";"80.928305699999996";"51";"74.2"
"43";"Brunei Darussalam";"0.2335159326998707";"51";"23";"10.272";"9.0909090910000003";"69.52";"70.599999999999994";"58.2";"71.7"
"44";"Hungary";"0.25845412975522852";"56";"17";"23.978999999999999";"12.56281407";"96.264880000000005";"98.23066";"48.3";"65"
"45";"Bahrain";"0.20729597045930259";"47";"15";"13.368";"18.75";"64.180000000000007";"57.52";"44.5";"87.3"
"46";"Croatia";"0.1224165438386442";"31";"8";"8.6809999999999992";"18.543046360000002";"94.531789790000005";"96.935605629999998";"45.7";"58.2"
"47";"Oman";"0.30388778789047699";"65";"17";"13.055999999999999";"8.8235294119999992";"73.409400000000005";"63.659849999999999";"31";"88.7"
"48";"Argentina";"0.35376096784432753";"77";"52";"62.781999999999996";"39.513677809999997";"66.5";"63.26";"49";"72.8"
"49";"Russian Federation";"0.25525934654430249";"54";"25";"20.699000000000002";"16.129032259999999";"96.313894910000002";"95.728204489999996";"54.9";"70.5"
"50";"Belarus";"0.11907633972807941";"27";"4";"14.507";"33.132530119999998";"87.238381810000007";"92.46538674";"58.1";"70.3"
"51";"Kazakhstan";"0.20262584823483387";"46";"12";"29.75";"22.07792208";"98.28";"98.9";"65.2";"77.099999999999994"
"52";"Bulgaria";"0.21775610299281456";"48";"11";"39.86";"23.75";"94.165530000000004";"96.216520000000003";"49.5";"61.6"
"53";"Montenegro";"0.11906797135104308";"27";"7";"9.3130000000000006";"23.456790120000001";"87.962998990000003";"97.528300150000007";"43.6";"58.1"
"54";"Romania";"0.31603010734093895";"69";"31";"36.210999999999999";"18.709677419999998";"87.184820000000002";"93.067639999999997";"45.6";"64.2"
"55";"Palau";"";"";"";"";"13.79310345";"96.889150000000001";"97.331320000000005";"";""
"56";"Barbados";"0.25602427442033349";"55";"27";"33.549999999999997";"27.450980390000002";"94.58";"91.9";"61.9";"69.599999999999994"
"57";"Kuwait";"0.24530015895983059";"53";"4";"8.1940000000000008";"3.076923077";"56.794361520000002";"49.274112780000003";"57.5";"85.3"
"58";"Uruguay";"0.27532989819220033";"59";"15";"58.726999999999997";"22.30769231";"57.821170000000002";"54.010710000000003";"55.8";"73.8"
"59";"Turkey";"0.30502492162551387";"66";"16";"26.559000000000001";"17.449664429999999";"44.320849549999998";"66.040500609999995";"33.5";"72.599999999999994"
"60";"Bahamas";"0.35254190843729483";"76";"80";"30.001000000000001";"21.81818182";"88.018106759999995";"90.981569230000005";"67.599999999999994";"82"
"61";"Malaysia";"0.27437398190136941";"58";"40";"13.414";"15.80756014";"79.8";"81.819999999999993";"50.9";"77.400000000000006"
"62";"Seychelles";"";"";"";"62.05";"21.212121209999999";"";"";"";""
"63";"Serbia";"0.16149411563078331";"37";"17";"14.706";"34.4";"85.715339999999998";"93.613190000000003";"46.8";"62.1"
"64";"Trinidad and Tobago";"0.32349148619565815";"72";"63";"30.09";"30.1369863";"74.42";"71.2";"50.4";"71.3"
"65";"Iran (Islamic Republic of)";"0.4917870072501338";"118";"25";"40.634999999999998";"5.8823529409999997";"67.353189999999998";"72.045680000000004";"16.8";"71.2"
"66";"Mauritius";"0.36946207278888643";"82";"53";"25.734999999999999";"11.594202900000001";"65.680000000000007";"68.12";"45";"71.8"
"67";"Panama";"0.45966340732128419";"108";"94";"81.828000000000003";"18.309859150000001";"74.830466389999998";"68.398899689999993";"52.5";"80.5"
"68";"Costa Rica";"0.28514079649704971";"61";"25";"53.46";"45.614035090000002";"53.759529999999998";"52.256410000000002";"45.7";"74.599999999999994"
"69";"Albania";"0.23407785371782353";"51";"29";"19.641999999999999";"27.85714286";"93.506311780000004";"92.767783030000004";"47.2";"64.900000000000006"
"70";"Georgia";"0.3507746480334113";"75";"36";"46.408000000000001";"16";"97.418840000000003";"98.581019999999995";"57.8";"78.7"
"71";"Sri Lanka";"0.37970115972501295";"86";"30";"20.925999999999998";"5.7777777779999999";"82.64";"83.14";"34.9";"72.2"
"72";"Cuba";"0.31249158027420243";"67";"39";"51.591999999999999";"53.2231405";"86.74";"88.937300230000005";"40";"67.400000000000006"
"73";"Saint Kitts and Nevis";"";"";"";"";"13.33333333";"";"";"";""
"74";"Antigua and Barbuda";"";"";"";"42.781999999999996";"31.428571430000002";"";"";"";""
"75";"Bosnia and Herzegovina";"0.16208501030318867";"38";"11";"9.6419999999999995";"19.298245609999999";"73.057900000000004";"90.043840000000003";"35.6";"58.6"
"76";"Mexico";"0.33424249198356437";"74";"38";"60.365000000000002";"48.407643309999997";"58.425350000000002";"61.088030000000003";"43.8";"78.900000000000006"
"77";"Thailand";"0.3767229000991229";"84";"20";"44.908000000000001";"5.2845528460000004";"43.104205350000001";"48.214470130000002";"59.5";"76.2"
"78";"Grenada";"";"";"27";"29.177";"39.285714290000001";"";"";"";""
"79";"Brazil";"0.38554076853660024";"89";"44";"59.110999999999997";"14.98316498";"61.027103189999998";"57.688682280000002";"54";"74.400000000000006"
"80";"Colombia";"0.41050226349077279";"94";"64";"66.650999999999996";"18.996415769999999";"53.070230000000002";"50.93412";"58.6";"82"
"81";"Armenia";"0.2586943178917801";"57";"25";"21.49";"18.0952381";"96.871179999999995";"97.644769999999994";"49.6";"69.900000000000006"
"82";"Algeria";"0.44306804243657949";"100";"140";"10.071";"21.322314049999999";"39.08";"38.9";"14.9";"67.400000000000006"
"83";"North Macedonia";"0.1450303838490612";"36";"8";"15.723000000000001";"38.333333330000002";"41.577384909999999";"57.563247539999999";"42.7";"67.5"
"84";"Peru";"0.3809247043772791";"87";"68";"56.881999999999998";"27.69230769";"57.414299069999998";"68.465641750000003";"69.900000000000006";"84.7"
"85";"China";"0.16264248044280027";"39";"27";"7.6349999999999998";"24.899328860000001";"75.44";"83.02";"61.3";"75.900000000000006"
"86";"Ecuador";"0.38886860005590296";"90";"64";"79.260999999999996";"37.956204380000003";"51.864980000000003";"51.862850000000002";"56.6";"81.8"
"87";"Azerbaijan";"0.32076538344344607";"70";"25";"55.838000000000001";"16.8";"93.901899999999998";"97.531030000000001";"63.1";"69.7"
"88";"Ukraine";"0.28448561896598867";"60";"24";"23.710999999999999";"12.293144209999999";"94";"95.24";"46.7";"62.8"
"89";"Dominican Republic";"0.45327225148093653";"104";"92";"94.26";"24.324324319999999";"58.632660000000001";"54.44623";"50.9";"77.599999999999994"
"90";"Saint Lucia";"0.33299378596726803";"73";"48";"40.536000000000001";"20.689655170000002";"49.22039668";"42.064493200000001";"60.2";"75.3"
"91";"Tunisia";"0.30031952806041373";"63";"62";"7.8410000000000002";"31.33640553";"42.326000000000001";"54.564";"24.1";"69.900000000000006"
"92";"Mongolia";"0.32160517552390733";"71";"44";"30.992999999999999";"17.10526316";"91.22";"86.34";"53.3";"66.7"
"93";"Lebanon";"0.36244894653984439";"79";"15";"14.5";"4.6875";"54.313747589999998";"55.561827190000002";"23.5";"70.900000000000006"
"94";"Botswana";"0.46426597224107335";"111";"129";"46.061";"9.5238095240000007";"89.64";"90.34";"66.2";"78.599999999999994"
"95";"Saint Vincent and the Grenadines";"";"";"45";"49.02";"13.043478260000001";"";"";"57.3";"79.2"
"96";"Jamaica";"0.4046629992825167";"93";"89";"52.756999999999998";"19.047619050000002";"69.851725130000005";"62.36603341";"60.4";"73.900000000000006"
"97";"Venezuela (Bolivarian Republic of)";"0.45795582144607083";"106";"95";"85.337000000000003";"22.155688619999999";"71.712379999999996";"66.614279999999994";"47.7";"77.099999999999994"
"98";"Dominica";"";"";"";"";"25";"";"";"";""
"99";"Fiji";"0.3565591899276197";"78";"30";"49.353000000000002";"19.60784314";"78.34";"70.188000000000002";"38.1";"76.099999999999994"
"100";"Paraguay";"0.48232451621984185";"117";"132";"70.504000000000005";"16";"47.25515";"48.278030000000001";"56.9";"84.1"
"101";"Suriname";"0.46510644942163415";"112";"155";"61.655000000000001";"25.49019608";"61.526959259999998";"60.084987980000001";"39.200000000000003";"64.2"
"102";"Jordan";"0.46862760444181262";"113";"58";"25.876999999999999";"15.38461538";"82.02";"85.88";"14.1";"64"
"103";"Belize";"0.39140979422143429";"91";"28";"68.486999999999995";"11.11111111";"78.919947269999994";"78.395616630000006";"53.3";"81.400000000000006"
"104";"Maldives";"0.36658249793434283";"81";"68";"7.81";"5.8823529409999997";"44.94";"49.28";"41.9";"82"
"105";"Tonga";"0.41808821128065377";"96";"124";"14.662000000000001";"7.407407407";"94";"93.4";"45.3";"74.099999999999994"
"106";"Philippines";"0.425242087665054";"98";"114";"54.154000000000003";"29.113924050000001";"75.593805360000005";"72.388184120000005";"45.7";"74.099999999999994"
"107";"Moldova (Republic of)";"0.22847758289976983";"50";"23";"22.414999999999999";"22.77227723";"95.509320000000002";"97.379069999999999";"38.9";"45.6"
"108";"Turkmenistan";"";"";"42";"24.417999999999999";"24.8";"";"";"52.8";"78.2"
"109";"Uzbekistan";"0.30309940320102813";"64";"36";"23.79";"16.399999999999999";"99.859530000000007";"99.928579999999997";"53.4";"78"
"110";"Libya";"0.1717677188582355";"41";"9";"5.7690000000000001";"15.95744681";"69.36";"44.96";"25.7";"79"
"111";"Indonesia";"0.45129165372762914";"103";"126";"47.374000000000002";"19.821428569999998";"44.465850000000003";"53.210259999999998";"52.2";"82"
"112";"Samoa";"0.36440432933980704";"80";"51";"23.885999999999999";"10";"79.127486099999999";"71.582921580000004";"23.7";"38.6"
"113";"South Africa";"0.421547312943652";"97";"138";"67.908000000000001";"41.834451899999998";"74.976508980000006";"78.207327480000004";"48.9";"62.6"
"114";"Bolivia (Plurinational State of)";"0.44613712934639083";"101";"206";"64.900000000000006";"51.80722892";"52.80782";"65.14246";"56.6";"79.400000000000006"
"115";"Gabon";"0.53430152106361684";"128";"291";"96.227000000000004";"17.351598169999999";"65.599999999999994";"49.78";"43.4";"60.2"
"116";"Egypt";"0.44973590693150411";"102";"33";"53.819000000000003";"14.93288591";"59.24";"71.22";"22.8";"73.2"
"117";"Marshall Islands";"";"";"";"";"9.0909090910000003";"91.644239999999996";"92.468590000000006";"";""
"118";"Viet Nam";"0.3138494002746719";"68";"54";"30.928999999999998";"26.720647769999999";"66.239999999999995";"77.695332030000003";"72.7";"82.5"
"119";"Palestine, State of";"";"";"45";"52.765999999999998";"";"60.016089999999998";"62.167900000000003";"19.3";"71.099999999999994"
"120";"Iraq";"0.54027282291844048";"131";"50";"71.733000000000004";"25.22796353";"39.520000000000003";"56.52";"12.4";"72.599999999999994"
"121";"Morocco";"0.49230993928033651";"118";"121";"31.033999999999999";"18.446601940000001";"28.96";"35.56";"21.4";"70.400000000000006"
"122";"Kyrgyzstan";"0.38123403012213519";"87";"76";"32.762999999999998";"19.166666670000001";"98.56";"98.34";"48";"75.8"
"123";"Guyana";"0.49233108459376951";"118";"229";"74.382000000000005";"31.884057970000001";"70.92";"55.52";"41.2";"73.599999999999994"
"124";"El Salvador";"0.39709403481582384";"92";"54";"69.459000000000003";"30.952380949999998";"39.947600000000001";"46.289720000000003";"46.1";"78.900000000000006"
"125";"Tajikistan";"0.37746660953615396";"84";"32";"57.076000000000001";"20";"98.8";"86.98";"27.8";"59.7"
"126";"Cape Verde";"0.37196926267332275";"83";"42";"73.759";"20.833333329999999";"28.72740619";"31.237025639999999";"65.099999999999994";"73.2"
"127";"Guatemala";"0.4921464493275578";"118";"88";"70.930000000000007";"12.658227849999999";"38.400386339999997";"37.222567130000002";"41.1";"85"
"128";"Nicaragua";"0.45470245497493966";"105";"150";"84.99";"45.652173910000002";"48.28";"46.56";"50.7";"83.7"
"129";"India";"0.5010283036162595";"122";"174";"13.177";"11.681643129999999";"39.020000000000003";"63.46";"23.6";"78.599999999999994"
"130";"Namibia";"0.46023062379596957";"108";"265";"63.627000000000002";"39.7260274";"40.46";"41.88";"56.2";"65.900000000000006"
"131";"Timor-Leste";"";"";"215";"33.784999999999997";"33.84615385";"";"";"25";"52.6"
"132";"Honduras";"0.47928705147751982";"116";"129";"72.912000000000006";"21.09375";"34.229939999999999";"32.612589999999997";"47.2";"83.7"
"133";"Kiribati";"";"";"90";"16.177";"6.5217391300000003";"";"";"";""
"134";"Bhutan";"0.43637777083386109";"99";"148";"20.184000000000001";"15.277777779999999";"7.5891521280000003";"17.486034539999999";"58.2";"74.5"
"135";"Bangladesh";"0.53584621352430872";"129";"176";"82.962000000000003";"20.285714290000001";"45.26";"49.22";"36";"81.3"
"136";"Micronesia (Federated States of)";"";"";"100";"13.923999999999999";"0";"";"";"";""
"137";"Sao Tome and Principe";"0.546544797509109";"136";"156";"94.61";"14.545454550000001";"31.517263440000001";"45.820514269999997";"43.3";"76.2"
"138";"Republic of Congo";"0.57901026192942318";"145";"442";"112.229";"13.963963959999999";"46.72";"51.34";"66.900000000000006";"71.599999999999994"
"139";"Swaziland";"0.57860936753852954";"145";"389";"76.694999999999993";"12.121212119999999";"31.34";"33.880000000000003";"41.4";"65.900000000000006"
"140";"Lao People's Democratic Republic";"0.46313362471203112";"110";"197";"65.41";"27.516778519999999";"34.979999999999997";"46.02";"76.8";"79.7"
"141";"Vanuatu";"";"";"78";"49.436999999999998";"0";"";"";"61.5";"79.599999999999994"
"142";"Ghana";"0.5410356041780362";"133";"319";"66.611000000000004";"12.727272729999999";"55.74";"71.12";"63.6";"71.5"
"143";"Zambia";"0.54032529940484386";"131";"224";"120.11199999999999";"17.964071860000001";"39.159999999999997";"52.4";"70.8";"79.8"
"144";"Equatorial Guinea";"";"";"342";"155.62200000000001";"18.023255809999998";"";"";"55.2";"67.099999999999994"
"145";"Myanmar";"0.45849855369801595";"106";"178";"28.509";"10.24464832";"28.74";"22.34";"47.7";"77.3"
"146";"Cambodia";"0.4741629460623521";"114";"161";"50.177";"19.251336899999998";"15.08";"28.1";"75.2";"87.6"
"147";"Kenya";"0.5445086125768992";"134";"510";"75.078000000000003";"23.261390890000001";"29.84";"37.314";"63.6";"69.099999999999994"
"148";"Nepal";"0.47573758713876135";"115";"258";"65.120999999999995";"33.532934130000001";"28.98";"44.16";"81.7";"84.4"
"149";"Angola";"0.57799890375238883";"144";"477";"150.52600000000001";"30.454545450000001";"23.103976230000001";"38.055684849999999";"75.400000000000006";"80.099999999999994"
"150";"Cameroon";"0.56645724553990451";"140";"596";"105.8";"29.285714290000001";"32.661603710000001";"40.880000000000003";"71.2";"81.400000000000006"
"151";"Zimbabwe";"0.52499423267530898";"126";"443";"86.135000000000005";"34.285714290000001";"55.911727910000003";"66.344250000000002";"78.599999999999994";"89"
"152";"Pakistan";"0.54718978068954316";"136";"178";"38.802";"20";"26.747140000000002";"47.255159999999997";"23.9";"81.5"
"153";"Solomon Islands";"";"";"114";"78.003";"2.0408163269999999";"";"";"62.4";"80.3"
"154";"Syrian Arab Republic";"0.54677704068565247";"136";"68";"38.591999999999999";"13.2";"37.119999999999997";"43.372";"12";"70.3"
"155";"Papua New Guinea";"0.74038999662986482";"161";"215";"52.655000000000001";"0";"9.94";"15.16";"46";"47.6"
"156";"Comoros";"";"";"335";"65.350999999999999";"6.0606060609999997";"";"";"37.4";"50.7"
"157";"Rwanda";"0.41238544774649744";"95";"290";"39.113999999999997";"55.660377359999998";"12.86";"17.909752569999998";"84.2";"83.6"
"158";"Nigeria";"";"";"814";"107.33";"5.769230769";"";"";"50.6";"59.8"
"159";"Tanzania (United Republic of)";"0.53851305935162097";"130";"398";"118.38500000000001";"37.179487180000002";"11.901674359999999";"16.916457300000001";"79.400000000000006";"87.2"
"160";"Uganda";"0.53064898669177052";"127";"343";"118.836";"34.298440980000002";"27.36";"34.71";"67.2";"75"
"161";"Mauritania";"0.6199362936186219";"150";"602";"71.049000000000007";"20.261437910000001";"12.68";"24.9";"29.2";"63.2"
"162";"Madagascar";"";"";"353";"109.59";"19.62616822";"";"";"83.6";"89.3"
"163";"Benin";"0.6125146689321419";"148";"405";"86.096000000000004";"7.2289156630000004";"18.2";"33.64";"69.2";"73.3"
"164";"Lesotho";"0.5460311448569698";"135";"487";"92.725999999999999";"22.727272729999999";"32.840000000000003";"25.1";"59.8";"74.900000000000006"
"165";"Côte d'Ivoire";"0.65704813982203714";"157";"645";"117.627";"9.1633466139999999";"17.84";"34.08";"48.3";"66"
"166";"Senegal";"0.52272520758571139";"125";"315";"72.724999999999994";"41.81818182";"11.14";"21.380116090000001";"35.200000000000003";"58.6"
"167";"Togo";"0.56568342780511738";"140";"368";"89.090999999999994";"17.582417580000001";"27.62";"54.04";"76.099999999999994";"79.3"
"168";"Sudan";"0.56036181188802303";"139";"311";"63.993000000000002";"31.041666670000001";"15.26";"19.559999999999999";"24.5";"70.3"
"169";"Haiti";"0.61954366889049139";"150";"359";"51.676000000000002";"2.7397260270000001";"26.86";"39.94";"63.3";"72.8"
"170";"Afghanistan";"0.57474170605821917";"143";"396";"68.956999999999994";"27.444794949999999";"13.22";"36.92";"48.7";"82.1"
"171";"Djibouti";"";"";"229";"18.841000000000001";"26.15384615";"";"";"54.8";"71.099999999999994"
"172";"Malawi";"0.61495508839939506";"149";"634";"132.67099999999999";"16.666666670000001";"17.579999999999998";"25.9";"72.900000000000006";"82"
"173";"Ethiopia";"0.50796334651846753";"123";"353";"66.727000000000004";"37.285714290000001";"11.47565483";"22.044043500000001";"74.2";"86.5"
"174";"The Gambia";"0.620445540313457";"150";"706";"78.185000000000002";"10.34482759";"30.74";"43.6";"51.7";"67.7"
"175";"Guinea";"";"";"679";"135.29400000000001";"21.92982456";"";"";"64.099999999999994";"65.099999999999994"
"176";"Liberia";"0.65102151684274645";"155";"725";"135.96199999999999";"11.650485440000001";"18.54";"39.64";"54.7";"57.5"
"177";"Yemen";"0.83417374246468834";"162";"385";"60.351999999999997";"0.51813471499999997";"19.920000000000002";"35.479999999999997";"6";"70.8"
"178";"Guinea-Bissau";"";"";"549";"104.82299999999999";"13.725490199999999";"";"";"67.3";"78.900000000000006"
"179";"Democratic Republic of the Congo";"0.65473159424704463";"156";"693";"124.22";"8.1666666669999994";"36.73039";"65.812809999999999";"60.8";"66.5"
"180";"Mozambique";"0.56887839290737241";"142";"489";"148.626";"39.6";"13.96321";"27.286662700000001";"77.5";"79.599999999999994"
"181";"Sierra Leone";"0.64374360081377979";"153";"1360";"112.828";"12.32876712";"19.86";"32.9";"57.7";"58.5"
"182";"Burkina Faso";"0.61156915873293016";"147";"371";"104.32899999999999";"11.02362205";"6.0218452429999996";"12.09579632";"58.5";"75.099999999999994"
"183";"Eritrea";"";"";"501";"52.552999999999997";"22";"";"";"74.099999999999994";"87.1"
"184";"Mali";"0.67610385107586835";"158";"587";"169.12700000000001";"8.8435374150000001";"7.34422";"16.381122000000001";"61.3";"80.900000000000006"
"185";"Burundi";"0.51957781192410879";"124";"712";"55.59";"38.75";"7.5";"11.02";"80.400000000000006";"77.599999999999994"
"186";"South Sudan";"";"";"789";"62.04";"26.558891450000001";"";"";"71.8";"74.3"
"187";"Chad";"0.7006806671961634";"160";"856";"161.09";"15.254237290000001";"1.7383810580000001";"10.313367039999999";"64.8";"77.900000000000006"
"188";"Central African Republic";"0.68207866262751871";"159";"882";"129.07400000000001";"8.5714285710000002";"13.42";"31.08";"64.7";"79.8"
"189";"Niger";"0.64744784733237826";"154";"553";"186.53800000000001";"16.95906433";"4.28";"8.8800000000000008";"67.3";"90.5"
"190";"Dem. Rep. Korea";"";"";"82";"0.28299999999999997";"16.302765650000001";"";"";"74.3";"87.3"
"191";"Monaco";"";"";"";"";"33.333333330000002";"";"";"";""
"192";"Nauru";"";"";"";"";"10.52631579";"";"";"";""
"193";"San Marino";"";"";"";"";"26.666666670000001";"";"";"";""
"194";"Somalia";"";"";"732";"100.08499999999999";"24.31610942";"";"";"19.100000000000001";"74.3"
"195";"Tuvalu";"";"";"";"";"6.6666666670000003";"";"";"";""
